niche,name,address,rating,phone,website
coffee shops Austin TX,Terrible Love,"3908 Avenue B, Austin, TX 78751, United States",4.9,,
coffee shops Austin TX,Jo's Coffee – South Congress,"1300 S Congress Ave, Austin, TX 78704, United States",4.4,,
coffee shops Austin TX,Epoch Coffee,"221 W N Loop Blvd, Austin, TX 78751, United States",4.5,,
coffee shops Austin TX,Flora Coffee & Culture,"3300 W Anderson Ln. Ste 300, Austin, TX 78757, United States",4.9,,
coffee shops Austin TX,Klerje Coffee,"1614 E 6th St Apt 112, Austin, TX 78702, United States",4.8,,
coffee shops Austin TX,Hometown Coffee - East Austin,"1101 Springdale Rd, Austin, TX 78721, United States",4.9,,
coffee shops Austin TX,Idlewild Coffee,"1628 E Cesar Chavez St, Austin, TX 78702, United States",5,,
coffee shops Austin TX,Black Cat Coffee,"603 W Live Oak St, Austin, TX 78704, United States",5,,
coffee shops Austin TX,UFO Coffee & Tea,"2307 1/2 Manor Rd, Austin, TX 78722, United States",4.9,,
coffee shops Austin TX,Neon Belly Coffee & Bakery,"8312 Burnet Rd Unit 101, Austin, TX 78757, United States",4.8,,
coffee shops Austin TX,Merfolk’s Specialty Coffee,"4930 S Congress Ave Ste 304c, Austin, TX 78745, United States",4.7,,
coffee shops Austin TX,Spokesman Coffee,"440 E St Elmo Rd A2, Austin, TX 78745, United States",4.7,,
coffee shops Austin TX,Odd Roots Coffee,"9600 Old Lockhart Rd, Austin, TX 78747, United States",4.9,,
coffee shops Austin TX,Funky Sol Coffee,"517 S Lamar Blvd, Austin, TX 78704, United States",4.8,,
coffee shops Austin TX,BRB Coffee,"3501 Guadalupe St, Austin, TX 78705, United States",5,,
coffee shops Austin TX,The Brew and Brew,"500 San Marcos St #105, Austin, TX 78702, United States",4.5,,
coffee shops Austin TX,Mozart's Coffee Roasters,"3825 Lake Austin Blvd, Austin, TX 78703, United States",4.5,,
coffee shops Austin TX,Fleet Coffee,"2427 Webberville Rd, Austin, TX 78702, United States",4.7,,
coffee shops Austin TX,Noble Joe Coffee Co.,"Southshore Eatery Food Truck Park, 1620 E Riverside Dr, Austin, TX 78741, United States",4.8,,
coffee shops Austin TX,Figure 8 Coffee Purveyors Cafe & Roastery,"1111 Chicon St, Austin, TX 78702, United States",4.7,,
plumbers New York City,Plumbing NYC,"510 W 45th St Apt 11g, New York, NY 10036, United States",4.8,,
plumbers New York City,Same Day Plumbing NYC Manhattan,"255 W 11th St, New York, NY 10014, United States",5,,
plumbers New York City,A&E NYC Plumbing,"40 Fulton St, New York, NY 10038, United States",5,,
plumbers New York City,24/7 Manhattan Plumbing NYC,"3441 Broadway, New York, NY 10031, United States",4.4,,
plumbers New York City,NYC Plumbing Services /Mentor Mechanical,"319 E 75th St, New York, NY 10021, United States",5,,
plumbers New York City,Rite Plumbing & Heating Inc,"750 Lexington Ave 9th floor, New York, NY 10022, United States",4.5,,
plumbers New York City,RR Plumbing Roto-Rooter,"450 7th Ave Ste B, New York, NY 10123, United States",4.8,,
plumbers New York City,Hub Plumbing & Heating,"103 Charles St, New York, NY 10014, United States",4.6,,
plumbers New York City,Brooklyn Plumbers,"300 Cadman Plz W, Brooklyn Heights, NY 11201, United States",5,,
plumbers New York City,NYC Quality Plumbing,"885 6th Ave, New York, NY 10001, United States",4.7,,
plumbers New York City,LZ Manhattan Plumbing New York,"3060 NY-2200 Frederick Douglass Blvd, New York, NY 10026, United States",4.6,,
plumbers New York City,Unclog NYC,"30 Broad St 14th floor, New York, NY 10004, United States",4.4,,
plumbers New York City,Pemati Plumbing Services LLC,"888 8th Ave #3T, New York, NY 10019, United States",4.9,,
plumbers New York City,24 Hr. Emergency Plumbing & Hot Water Heater,"80 Fenimore St, Brooklyn, NY 11225, United States",4.9,,
plumbers New York City,"Empire NYC Plumbers, Drain & Sewer Cleaning","537 W 150th St, New York, NY 10031, United States",5,,
plumbers New York City,Nyc Plumbing Solutions,"614 49th St, Brooklyn, NY 11220, United States",4.9,,
plumbers New York City,Plumbing NYC Contractor,"88 E 111th St Ste 168, New York, NY 10029, United States",5,,
plumbers New York City,Aladdin Plumbing Corp.,,4.9,,
plumbers New York City,Astoria Plumbers,"30-96 32nd St, Long Island City, NY 11102, United States",4.7,,
plumbers New York City,WaterHouse Plumbing Company,"171 Attorney St, New York, NY 10002, United States",5,,
dentists Los Angeles CA,Happy Smiles,"1655 S Western Ave Ste C, Los Angeles, CA 90006, United States",4.9,,
dentists Los Angeles CA,Smile L.A. Downtown Modern Dentistry,"523 W 6th St #202, Los Angeles, CA 90014, United States",4.9,,
dentists Los Angeles CA,Downtown Dental,"255 S Grand Ave Ste 204, Los Angeles, CA 90012, United States",4.6,,
dentists Los Angeles CA,West Coast Dental of Los Angeles,"2604 S Vermont Ave Ste F, Los Angeles, CA 90007, United States",3.5,,
dentists Los Angeles CA,Larchmont Dental Associates,"581 N Larchmont Blvd, Los Angeles, CA 90004, United States",5,,
dentists Los Angeles CA,Smile Recreation Dentistry by Dr. Baseri,"6221 Wilshire Blvd #517, Los Angeles, CA 90048, United States",4.7,,
dentists Los Angeles CA,EMERGENCY DENTIST - Amigos Dental for Kids & Adults (24/7 urgent dentist),"274 1/2 S Rampart Blvd, Los Angeles, CA 90057, United States",5,,
dentists Los Angeles CA,Washington Dental | Los Angeles Dentist,"1005 E Washington Blvd B, Los Angeles, CA 90021, United States",4.7,,
